rating,date,content,Extreme_score,review_vector
5.0,2022-05-02,even though the plot isnt really something different the way its developed and the feeling the movie transmits is what makes the movie great withs a rather simple plot even though crazy plot twists anyways transmit crazy feelings with plot twists such as the killing of the house owner the father for years living like an animal and the vague glance of hope is shown at the end it has important subjects like the class division the people with higher socioeconomic status watching others as inferiors and the insane obsession of the mentally filled with the houseowner his idealization,3656.25,"[ 5.6297626e-02 -6.4998679e-03 -4.8847296e-03  6.5154870e-07
 -4.6867470e-04 -1.2448477e-02  9.4003562e-06  1.7111402e-02
 -1.7392701e-02 -2.3351344e-03 -1.5577728e-02 -1.6798822e-02
 -1.0760795e-02  3.3851232e-02 -1.0045474e-02  9.9073965e-03
  1.2852731e-02  5.2314973e-03  7.7131717e-03 -3.6433358e-03
  1.1814331e-02  1.4614570e-02 -6.9655804e-03 -2.1969324e-02
 -5.9241098e-03 -4.8966850e-03 -1.7994383e-02  5.6895148e-03
  7.9772975e-03  1.5507727e-05 -1.9787585e-02 -1.2134815e-02
  4.5752135e-05 -4.1547297e-03  9.6011460e-03  1.3000186e-02
 -1.4907528e-02 -9.9902768e-03  1.2050188e-02 -1.3240552e-02
 -1.9314695e-03 -2.9079008e-03  2.5118121e-03 -1.4578996e-04
  1.0442583e-02 -2.2100147e-03  8.9175636e-03  5.4751229e-02
 -2.2252060e-02 -2.0046059e-02 -1.1925026e-03  2.7318182e-03
 -1.4529462e-02 -6.4930981e-03  1.1404430e-02  2.8726363e-03
  1.1592693e-02 -4.0692138e-03  1.1785432e-02  2.0413416e-02
  2.2911243e-02 -9.9767908e-04 -3.5803104e-03 -5.2730581e-03
 -8.1760302e-04  6.7498730e-03 -2.0420216e-03 -9.3777543e-03
  9.2164548e-03 -3.1512259e-03 -1.9426463e-03 -7.0308084e-03
 -4.7781621e-03 -9.4605088e-03  1.1879150e-03  8.9125456e-03
  1.9817308e-03  2.5690743e-04  4.2173411e-03 -8.0866273e-03
 -5.7992931e-03  7.0014489e-03 -1.2227425e-02  9.9298905e-04
  7.2808508e-03 -5.7993517e-03  2.2477150e-02  5.5893473e-03
 -2.5760040e-03  1.1001935e-02 -5.8494913e-03  7.9376400e-03
 -8.8403206e-03 -6.1389990e-03  4.9088672e-03 -1.5392111e-03
  6.5863887e-03 -2.9856879e-03  1.0711201e-02  5.6541627e-03]"
5.0,2022-05-02,god bless joonho for his unique storytelling in which he finally deserved the awards for you will not be disappointed by every twists  turns this film takes thanks to his style,1100.0,"[ 5.40032424e-02 -3.97796091e-03  4.67027631e-03 -7.39102234e-07
  1.39315077e-03  7.94349331e-03  1.15623116e-03 -3.21177505e-02
  2.74585616e-02  2.38188449e-03  5.86414151e-03 -1.45187117e-02
 -9.65914782e-03  1.32650146e-02 -1.77695490e-02  1.04615213e-02
  1.44553846e-02  8.24904907e-03 -1.41358646e-02 -1.22911325e-02
  2.84055690e-03  7.17356335e-04 -1.52315572e-02  3.16609144e-02
 -4.81605623e-03  1.01366956e-02  7.25100888e-03 -1.42030073e-02
  1.82823709e-03  3.67913854e-05 -6.11143978e-03 -1.16921971e-02
 -2.32194179e-05  1.90029703e-02  1.44731114e-02 -2.96043344e-02
 -3.34042162e-02 -2.98648085e-02  1.52920932e-03 -1.37226479e-02
  1.56328455e-02  1.23348972e-03 -2.90527614e-03 -2.51026936e-02
 -1.06683210e-03 -2.66260151e-02  2.51334789e-03  3.28801796e-02
 -1.49854077e-02 -2.34853476e-02  4.66440804e-03  2.00475194e-03
 -1.07239755e-02  2.22998802e-02 -2.58210171e-02  1.38479890e-02
  1.16799613e-02 -1.32161770e-02 -1.72159867e-03 -1.59246549e-02
 -2.19888217e-03 -6.55155862e-03  1.75706837e-02 -2.18141009e-03
 -4.03140858e-03 -1.35452156e-05 -8.17338936e-03  6.87928544e-03
  1.19975870e-02  2.57213209e-02 -1.91612344e-04 -7.26558641e-03
 -4.65806061e-03  1.98565959e-03  4.81329160e-03 -1.71914622e-02
  3.32104182e-03 -1.68881547e-02  8.16802308e-03  1.69176143e-02
  5.47451060e-03 -1.24893675e-03 -9.67164896e-03  8.32194462e-03
 -8.46052729e-03 -1.03347003e-02 -2.46552448e-03  1.39525738e-02
  1.10360431e-02 -2.51309620e-03  3.26219277e-04  1.07595846e-02
  1.60732772e-03 -1.66959818e-02 -1.85099989e-03  1.44790737e-02
  2.88517401e-02 -5.21307951e-03 -3.29359109e-03  1.11608850e-02]"
5.0,2022-04-30,absolute bonkers of a film with the constantly evolving and mixing of many genres from comedy to horror director bong joonho masterfully creates an exciting and thrilling take on class division with its excellent narrative set designs cinematography and soundtracks which all come together nicely to create a masterful visual story parasite 2019 is another great addition to bongs filmography although i do feel that it is one of his more accessible films i could not stop thinking about this film every day,3168.75,"[ 6.12546839e-02 -3.33079952e-03  3.45773506e-03  2.69857935e-07
 -2.08761473e-03 -1.03171840e-02  1.71642832e-03 -1.16438102e-02
  3.40403314e-03  1.49917195e-03  1.60049275e-03  8.70791078e-03
  3.63801466e-03 -1.09067587e-02  5.72532322e-03  3.62123502e-03
  7.28243822e-03 -6.03449717e-03 -1.42367920e-02  1.15165776e-02
 -5.89659857e-03  7.54670473e-03  3.76987457e-03 -6.74211094e-03
  1.32943713e-03 -8.69032578e-04  7.86500238e-03 -1.38835460e-02
 -5.83207561e-03  3.42957283e-05 -3.91206378e-03  2.65565049e-03
  9.06739369e-05  7.84303062e-04  6.69698976e-03  8.71221256e-03
 -3.31965485e-03  7.85078015e-03 -1.81535550e-03  3.89738427e-03
 -8.84034578e-03 -9.27582500e-04  1.30589644e-03 -3.52874678e-03
  4.13462287e-03 -2.50613620e-03  3.56216962e-03  5.10251261e-02
 -1.29769580e-03 -1.21712787e-02  6.77777498e-05 -4.83046239e-03
 -1.08896857e-02  5.10031916e-03 -1.39717385e-02  4.16177372e-03
  9.43335146e-03 -4.43298649e-03  2.94404011e-03  2.81097670e-03
  5.11583639e-03  7.90605880e-03  6.02301443e-04 -7.19626062e-03
 -1.20195886e-03  5.42102382e-03 -2.11158767e-03 -3.66035569e-03
 -9.45893303e-03 -5.43771684e-03 -1.39723485e-03 -3.58425285e-04
 -5.78046404e-03 -5.47872437e-03 -2.74173962e-03  1.04651263e-03
 -3.86134518e-04 -5.58991777e-03 -4.61659161e-03  8.36410269e-04
 -9.13406257e-03 -2.80379411e-03  3.44330794e-04 -1.04204461e-03
 -1.22200965e-03  9.71622951e-03 -1.86183944e-03  5.28190192e-03
 -5.30471653e-03  2.50518112e-03  4.07334417e-03 -1.98246888e-03
 -1.62561040e-03 -4.92997409e-04  4.15691501e-03 -4.31579165e-03
  5.53423679e-03 -4.13312018e-03 -6.90893084e-03  3.10862390e-03]"
4.5,2026-01-14,i clearly remember the feeling when parasite ended the sense of having seen something different uncomfortable and at the same time strangely entertaining its not just that the film is original  which it is  but that it has that rare ability to constantly change its skin without the seams showing it starts almost like a game makes you lower your guard and before you realize it youre already deep into something much  of the great strengths of korean cinema and something thats especially evident here is its freedom to mix tones without asking for permission black comedy social satire and a growing sense of tension all coexist here slowly creeping in nothing feels forced everything flows with a deceptive naturalness as if the film knows exactly when to make you laugh and when to make you  staging is key the use of space the contrasts between different worlds and the way characters move within them say as much as the dialogue theres an almost surgical precision in every visual decision but it never feels cold or calculated on the contrary everything serves a story that gains emotional weight without unnecessary  the center of it all is bong joonhos gaze once again proving that he knows how to entertain without giving up on saying uncomfortable things whats interesting is that the film doesnt openly judge it observes lets the viewer draw their own conclusions and when it wants to presses exactly where it hurts most that mix of irony cruelty and clarity is what makes it so s not a film that ends when the credits roll it lingers making you rethink scenes gestures and decisions it has rhythm bite and intelligence and best of all it never loses its sense of spectaclei didnt find it perfect but very close to it one of those films that justify on their own why cinema is still a place where unexpected things can happen,7348.0,"[ 5.8499381e-02 -5.7417247e-03 -1.4162041e-03  9.1627939e-08
  9.3992642e-04  9.0764544e-04 -1.7771719e-04 -5.4143174e-03
  6.2052738e-03  3.4752423e-03 -2.3138698e-03 -6.4735464e-03
  4.2418377e-03 -3.9834017e-03  1.9854309e-02  2.1807372e-03
 -1.8733950e-02  5.4438803e-03  5.4978742e-03 -7.2378265e-03
  1.3851300e-02  6.2846211e-03 -1.6319583e-03  7.1803438e-03
 -9.5709190e-03 -7.7055972e-03 -6.2649129e-03  8.6026471e-03
  1.0684612e-03 -1.4938046e-05 -1.6603993e-02  6.1930064e-04
 -4.1754043e-05 -8.0818664e-03 -4.7358978e-03  5.9330226e-03
  3.7548169e-03  9.5860520e-03  4.3301336e-03 -4.2170151e-03
 -5.6881271e-03 -2.3570126e-05  4.7114627e-03  9.1184806e-03
  9.8246546e-04  6.1009632e-04 -4.4109318e-03  5.3065944e-02
 -8.5334433e-03 -7.3770066e-03 -8.1849477e-04 -1.1066375e-03
  5.4156417e-03 -2.7657493e-03  1.7944162e-03  1.8111654e-03
  6.0747238e-03  6.2101614e-03  9.5250766e-04  1.0405639e-03
  3.2547587e-03 -3.4164714e-03 -6.2091398e-04 -1.4555105e-03
  5.0622830e-03  7.3399208e-03 -3.3660526e-03 -3.6973299e-03
  1.1809039e-04 -6.7339945e-03 -2.5805454e-03  8.3907438e-04
  1.2657645e-03 -1.7134382e-03 -2.0865088e-03  2.4225207e-03
 -6.5187020e-03 -1.2466522e-03  6.1081522e-03 -4.7122082e-03
 -3.3405905e-03 -1.7705067e-03 -6.8441420e-03 -2.9194991e-03
  2.8425378e-03 -6.6705709e-03 -2.3942993e-03  1.7282120e-03
  1.6805000e-03 -1.4305928e-03 -3.9756307e-03 -1.1977215e-03
 -1.5128099e-03 -2.1238660e-03  7.7704544e-04  4.4387900e-03
 -6.5978886e-05 -3.8430146e-03 -3.7322582e-03  3.9751399e-03]"
5.0,2025-12-02,"greetings from lithuania
gisaengchung 2019 parasite is to simply put  the best south korean movie i have ever seen and i saw more then few of them and really loved them  i think that this country makes best movies in asia  in my personal opinion gisaengchung is nothing short of a small masterpiece it is a stupendously entertaining movie that hooked me from the first 45 seconds till the last frame for its entire 2 h 9 min running time  i was blown away of how amazingly crafted acted written and directed this movie was in every scene the story was fresh and unique and universal you can throw a rock at me if hollywood wont remake this movie with some very well known actors in near future  it is a pure diamond in a movie marketoverall gisaengchung is by far one of the few best movies ive seen this year right here along with joker which i saw last week it is unusually entertaining and involving story that shows of just how there are big differences in our society between poor and rich its a universal theme and this movie is a universal treasure",6593.75,"[ 6.0320430e-02 -6.1782957e-03 -3.7126460e-03  9.8158715e-08
  6.5963739e-03  2.0226568e-02 -3.9202956e-04 -4.8006899e-03
 -1.2251404e-03 -3.0756064e-03 -2.1680950e-03  1.5633650e-02
  2.7902692e-03  5.6631565e-03 -6.8365545e-03  2.6980964e-03
  1.3160290e-02  9.7366725e-04  1.5273047e-02  3.0511650e-03
 -1.1492794e-02 -1.1460698e-02 -3.6263722e-03  4.3875915e-03
  4.5595402e-03 -2.6862032e-03 -3.0333179e-03  1.8075776e-04
 -3.5790196e-03  7.3074125e-06  1.0205696e-02 -1.5990391e-02
 -5.4261978e-05 -5.2665733e-03 -4.9788924e-03 -2.4854033e-03
  9.9296505e-03 -1.6576614e-03  5.7287700e-03  8.4507307e-03
 -9.0322811e-03 -3.2496322e-03  1.0933549e-02  3.6829230e-03
  9.5994649e-03  3.6304202e-03 -2.7197821e-03  5.1615350e-02
 -8.4953178e-03  7.6461770e-04  5.1708710e-03  2.7208931e-03
  1.7073019e-03  2.4116822e-03  6.3348487e-03 -3.4401505e-04
  9.4807515e-04 -3.2662554e-03 -7.8470926e-05  8.8818144e-04
 -1.2740394e-03 -5.1962524e-03 -3.4544242e-03  7.0426646e-03
  2.4000022e-03 -3.7461190e-04 -5.0986065e-03 -6.0515716e-03
 -1.2282925e-04 -8.0067413e-03  3.4985335e-03  1.6355029e-03
  7.3178969e-03 -6.9660251e-05  1.4028213e-03 -3.4978739e-03
 -8.8212769e-03 -2.1538595e-03 -2.8147866e-04  5.7543133e-04
  5.7463376e-03 -6.7095272e-03 -2.4068307e-03 -4.0144387e-05
 -2.7579087e-04 -1.0828971e-03 -2.0594380e-03  1.1624630e-02
 -5.0123949e-03  5.0022756e-03  5.9862491e-03 -2.0105371e-03
  5.7981783e-03 -1.7334321e-03  4.4359812e-03  1.2404426e-03
  3.5311338e-03 -3.5917829e-04  4.3610395e-03  1.0206649e-02]"
4.0,2025-10-16,"i love everything about this movie it actually depicted life with poor people and their mindset with the rich people beautiful movie i love it



john chizobavincent",371.25,"[ 6.3277960e-02 -8.2855355e-03 -4.9181213e-03  3.6565834e-07
  1.2403458e-02  4.1241057e-02  2.2055631e-06  4.1801129e-02
 -3.7686413e-04  5.1794318e-03  5.0905538e-03 -1.8525871e-02
  1.3931960e-02 -1.3553663e-02  3.6173538e-04  1.8148737e-02
  5.2823752e-02  2.1306697e-02  1.6919278e-03 -8.0506979e-03
 -7.7057611e-03  5.3196647e-05  8.7539451e-03 -3.0299513e-02
  2.8022663e-03  2.3350713e-03  2.2938815e-03  2.2305194e-02
 -6.4349454e-03 -6.5348650e-05  1.5453432e-02 -2.1145035e-02
 -2.6429430e-04 -1.5823416e-02 -3.0358717e-02  1.9048134e-02
  1.4477976e-02  1.5133191e-02 -4.6122828e-03  4.5569628e-03
  2.4635973e-03  7.4584717e-03 -1.5414126e-02  3.0796488e-03
 -6.6290568e-03  1.7264351e-02  2.0199360e-02  5.5418219e-02
  1.3580876e-03 -8.8179531e-03  7.2975368e-03  8.4518492e-03
 -6.1640465e-03  2.5094729e-03 -2.3534091e-03  1.6937917e-02
  7.7557811e-03 -5.0043613e-03  2.3319069e-02  7.3582982e-03
  1.5992966e-02  1.6781643e-03  1.6836697e-02  1.3868250e-02
 -1.7401658e-02 -4.8970571e-03 -1.8680026e-03  4.2675249e-03
  8.5324869e-03 -1.6674967e-02  1.1263589e-02  5.1626475e-03
 -1.1562653e-02 -1.8217167e-03 -1.9197179e-02  8.0689900e-03
 -1.0592703e-02 -7.1691694e-03 -1.1466443e-02  2.0904584e-02
 -2.2418298e-02  5.6478796e-03 -8.4045883e-03 -2.7559299e-03
 -1.0203185e-02  1.1721674e-02 -1.0530037e-02  1.1301620e-02
  3.3935113e-03 -4.9282648e-03  1.0793517e-02  1.8956061e-02
 -9.3017332e-03 -1.0977142e-02  3.5741124e-03  6.0117542e-04
  1.7897569e-03  3.6848693e-03 -1.8807495e-02  3.8734381e-03]"
4.5,2025-10-04,une pépite coréenne un excellent moment passé pendant le visionnage un film à voir absolument que ce soit pour sa vision du problème des classes sociales le film est des fois assez visuel sans trop lêtre ce qui le rend assez accessible le film senchaine très bien et ne se précipite pas dans ce quil veut raconter,1252.0,"[ 1.32534299e-02  1.02144191e-02  1.51038274e-01  4.10954613e-08
  4.87292139e-03 -4.22353623e-03 -1.57058723e-02 -2.39010784e-03
 -5.87006798e-03  2.30214652e-03 -2.94264150e-03 -1.56571332e-03
  7.41165830e-04 -4.59334301e-03 -3.56886652e-03  5.11664478e-03
  2.79508391e-03 -6.96516363e-04  4.24226234e-03  3.88807058e-03
 -2.53127422e-03  2.49069985e-02 -3.00044683e-03  3.70583986e-03
 -9.04683082e-04  5.07098949e-03  6.37308182e-03 -1.81030447e-03
 -3.84112704e-04 -2.46379986e-05  9.06248670e-03 -3.92999238e-04
 -1.91982108e-05  2.27881339e-03 -4.19554504e-04  4.69531817e-03
 -2.28419201e-03 -1.38052122e-03 -1.89452735e-03 -2.98188912e-04
  3.34747310e-04  6.17333280e-04 -1.66585948e-03  5.18583320e-03
 -6.05999783e-04 -3.44294775e-03 -1.04728690e-03  5.92846982e-03
 -3.84365878e-04  5.44191338e-03  2.68991431e-03 -8.01370712e-04
  6.24882430e-03  2.09786420e-04  4.22507431e-03 -3.29955365e-04
 -1.34328345e-03  2.05001957e-03  2.48558028e-03  8.71940982e-04
  1.14749349e-03 -8.96108570e-04  1.02488586e-04 -1.54886139e-03
  1.74648798e-04 -1.58791989e-03 -1.16420665e-03  4.33198966e-06
  1.20270159e-03 -7.34347908e-04 -5.94131474e-04 -3.27278534e-03
 -9.57489188e-04  6.01179490e-04 -1.66456844e-03 -1.38355396e-03
  1.79640003e-04  2.34459038e-03  1.79391494e-03  3.75410673e-05
  8.32543883e-05 -8.25500931e-04 -1.71518914e-04 -3.95828683e-04
  9.55669093e-04 -2.01137969e-03 -1.67726539e-03 -8.65545648e-04
  1.29588728e-03 -8.74914695e-04 -1.08789257e-03 -4.83769021e-04
  8.01109476e-04  9.66689549e-04 -4.40565236e-05 -1.17837195e-03
  9.71267233e-04 -1.35080633e-03 -7.97255605e-04  2.89313670e-04]"
4.0,2025-09-19,"parasite is a masterful achievement that showcases bong joonhos exceptional directing prowess and storytelling brilliance this film deserves every accolade it has received

directing  cinematography
bong joonhos direction is meticulous and purposeful every shot serves the narrative particularly his use of vertical space to reinforce class divisions  from the parks elevated mansion to the kims semibasement dwelling the camera movements are deliberate creating tension through simple pans and tilts the rain sequence is cinematographically stunning using weather as both plot device and visual metaphor the production design seamlessly integrates with the cinematography to create distinct worlds that feel authentic yet symbolic

script  storytelling
the screenplay is a structural marvel that defies genre conventions while maintaining perfect narrative cohesion what begins as a dark comedy gradually transforms into a thriller then a horror film without ever feeling disjointed the scripts genius lies in its ability to make us empathize with morally ambiguous characters while never excusing their actions the dialogue feels natural and reveals character depth efficiently  each conversation serves multiple purposes advancing plot while developing relationships and themes

overall impact
parasite succeeds as both entertainment and social commentary it explores class inequality with nuance avoiding heavyhanded messaging while delivering powerful insights about economic disparity the films universal themes transcend cultural boundaries making it accessible worldwide while remaining distinctly korean the pacing is expertly controlled building tension methodically toward an explosive and inevitable conclusion

this is cinema at its finest  technically brilliant thematically rich and emotionally resonant",4090.5,"[ 4.89817113e-02 -3.29061435e-03 -7.02875608e-04  2.46898679e-08
 -7.97641184e-03 -3.66444513e-02  1.79198489e-03  1.31093245e-02
  1.25763258e-02 -2.03543203e-03  2.47954647e-03  1.91234157e-03
  3.25557450e-03  2.81354925e-03 -6.11782307e-04  8.73060024e-04
 -2.60474882e-03  4.67142090e-03  4.11045243e-04  8.43412010e-04
 -5.08399308e-03 -7.18253898e-04  7.30468472e-03 -1.82894478e-03
  1.54187239e-03 -2.44382606e-03 -3.48673179e-03 -1.82188174e-03
 -6.96804421e-03  4.80271483e-05 -3.51225864e-03 -7.22868461e-03
  2.13534277e-05  3.16392770e-03 -3.94776056e-04  4.24343301e-03
 -1.14877737e-04  3.45846056e-03  1.00491541e-02 -2.45375978e-03
 -7.25497899e-04  6.66086853e-04 -1.61379960e-03 -3.29123880e-03
 -5.60726598e-03  7.37566873e-03 -2.67328299e-03  3.78909558e-02
 -3.78588121e-03 -8.35358538e-03  4.59791627e-03  3.78065801e-04
 -2.00817664e-03 -4.84330114e-03  1.00541990e-02  3.30197904e-03
 -2.50671711e-03 -4.09908425e-05  3.64703569e-03  1.93702267e-03
 -4.19676362e-05 -3.58426478e-03  4.23207367e-03  7.18579104e-04
 -1.79566932e-03 -3.70567595e-03 -8.03608820e-03 -2.28489703e-03
  3.01971752e-03 -4.66797687e-03 -5.65488311e-03 -3.95357562e-03
 -1.73206592e-03 -5.76287415e-03 -5.28984750e-03  1.80792424e-03
 -1.55960745e-03 -3.33049870e-03  2.76964088e-03 -1.04154146e-03
 -1.26363349e-03 -3.72252846e-03 -6.99992641e-04  3.18621588e-03
  1.19824684e-03 -4.12683189e-03  1.01580296e-03 -1.50904898e-03
 -5.71045047e-03 -3.70909082e-04 -2.51665059e-03  2.68642372e-03
 -2.49070255e-03 -3.08544055e-04  2.66884919e-03 -4.57642964e-05
  1.19632459e-04 -3.98700312e-03  3.13814543e-03  1.55741989e-03]"
5.0,2025-08-29,parasite is a remarkable film that really speaks to the nature of capitalism and the ever growing divide in class between the rich and the poor the story of the movie sets its footing and keeps climbing its stairs all the way to the heights of the end beats i am 100 certain this movie will be even better on a 2nd watch go watch this moive right now,2187.5,"[ 6.51296601e-02 -6.89914497e-03 -2.24818313e-03 -1.04890034e-06
  2.90737022e-03  6.93595409e-03 -1.24734081e-03  1.17935480e-04
 -8.92518368e-03  1.11375446e-03 -1.25292484e-02 -9.80928326e-06
  2.10227142e-03  6.62008487e-03  1.03149461e-02  6.94127381e-03
  1.10381544e-02 -4.34114772e-04  7.08871428e-03  1.20652495e-02
 -4.42331284e-03 -4.18794714e-03  2.94707170e-05  4.34875488e-04
 -9.42090340e-03  1.05357887e-02 -1.71142928e-02  1.81608310e-03
 -6.32084906e-03 -9.29991074e-05 -4.23236983e-03 -4.51883720e-03
  6.71456073e-05 -2.77029420e-03  5.69799263e-03  1.93551145e-02
 -4.70809545e-03 -5.41522633e-03  1.20860143e-02 -3.05041997e-03
 -8.17112532e-03 -2.92290724e-03  8.24567676e-03 -1.32707693e-02
  8.65985267e-03 -7.51146395e-03  5.72081702e-03  7.02234209e-02
 -1.57021638e-02 -1.14587527e-02 -1.65365485e-03 -8.93673208e-03
 -1.22255580e-02 -1.07902428e-03  2.02394165e-02  7.96481967e-03
 -3.14024673e-03  2.53234844e-04 -1.12958560e-02  1.04389237e-02
  9.72258765e-03 -5.63794235e-03  4.67472849e-03  2.09788941e-02
  5.36460429e-04 -4.92092036e-03 -1.88391507e-02 -2.87613622e-03
 -3.64821102e-03 -5.68713341e-03 -8.03923979e-03 -4.74245986e-03
  4.40070732e-03 -5.23618143e-03 -1.72835495e-02  1.12263737e-02
 -7.09687686e-03  3.95791227e-04  1.17843237e-03 -6.55185105e-03
 -1.71282329e-02 -1.02959890e-02 -6.83990400e-03  9.82626574e-04
 -1.40792935e-03 -8.46735481e-03  6.36621239e-03  1.87790040e-02
 -5.60517237e-03  4.90818545e-03 -1.91946223e-03  8.18054378e-03
 -1.11194849e-02 -1.08665172e-02 -3.12487874e-03  1.36461412e-03
  1.48186181e-03  3.75454454e-03 -2.43162061e-03  1.23807741e-02]"
4.0,2025-08-27,a wellcrafted mix of suspenseful drama and dark humour with a dose of social commentary thrown on top this is one of the best foreign language films of recent times,369.0,"[ 6.12455979e-02  7.47947372e-04 -3.59200803e-03 -1.84411726e-06
 -1.29080238e-02 -3.60540999e-03 -8.06131586e-03  1.05531851e-03
 -1.14485491e-02  2.36367784e-03 -1.08459201e-02  1.16914753e-02
  2.18572542e-02  8.11659452e-03  1.17515577e-02 -5.10536553e-03
 -3.88291338e-03 -2.22739540e-02  3.46064847e-03  1.39310461e-04
 -1.38656935e-02 -1.10817123e-02 -2.73792129e-02 -3.26449820e-03
  8.70021060e-03 -2.38556191e-02 -2.26892922e-02 -3.15994248e-02
 -1.61615747e-03 -4.04112179e-05  1.32383564e-02  8.84713046e-03
  6.43700550e-05 -1.87429972e-02 -1.05871717e-02  3.61652523e-02
  1.23342238e-02 -2.50045513e-03  8.69784411e-03 -1.16162188e-03
  2.42311158e-03 -3.86437518e-03  1.60839763e-02 -2.90809968e-03
 -6.06013043e-03 -3.12118009e-02 -1.51578449e-02  6.69403225e-02
 -2.62928996e-02 -9.21900943e-03 -2.05495581e-02 -7.01121008e-03
 -5.94340032e-03  1.37081940e-03 -1.30126271e-02 -8.65001697e-03
  2.06531063e-02  5.46129560e-03  2.22278526e-03  1.13272956e-02
  5.07082930e-03 -4.75316402e-03 -2.93812575e-03 -1.37085300e-02
  1.43194513e-03  9.25403275e-03 -1.43739406e-03 -8.82309396e-03
  1.46569626e-03 -2.34586094e-02  1.40968887e-02 -1.01674460e-02
  1.46582117e-02 -8.62556417e-03  8.64020456e-03  1.82823017e-02
 -8.38399306e-03 -1.03753908e-02 -3.15171725e-04 -2.75677512e-03
 -5.72354393e-03  1.53914634e-02  5.44830691e-03 -8.29248596e-03
  7.81811867e-03 -5.41825034e-03  6.27912302e-03  3.99617804e-03
 -9.74715315e-03  5.55003434e-03  3.40353046e-03  8.27935245e-03
 -1.40653681e-02  1.14454748e-02 -1.33337667e-02  1.00620957e-02
 -5.80207743e-05 -1.01003926e-02 -2.21819314e-03  9.75270849e-03]"
4.0,2025-08-19,an unforgettable masterpiece a cinematic rollercoaster that gets under your skinreview bodyit is a rare occasion when a film manages to be laughoutloud funny nailbitingly tense and heartwrenchingly tragicoften all at once bong joon hos brilliant parasite is not merely a film it is a complete cinematic experience a masterfully conducted symphony of conflicting emotions that dance together in perfect unsettling  story begins with a deceptively simple premise a poor crafty family hatches an ingenious plan to infiltrate the lives of a wealthy one what starts as a sharp and wildly entertaining black comedy about a heist soon morphs slowly and methodically into something else entirely director bong uses every tool in his cinematic arsenalfrom the stunning cinematography that turns architecture into a main character to the razorsharp script where not a single word is wastedto build a world where you feel everything is about to collapse at any  ensemble cast performance is nothing short of magnificent every actor delivers a flawless performance adding layers of humanity and complexity to characters that could have easily been stereotypeswithout revealing any of its stunning surprises parasite is a film that will stay with you long after the credits roll it is bold incredibly entertaining and profoundly thoughtprovoking this is the kind of film that reminds us why we go to the movies in the first  personal rating 8510  an absolute mustsee for any lover of true cinema,3334.5,"[ 5.84792644e-02 -3.68514797e-03 -3.85434716e-04  1.54872041e-07
 -5.18559711e-03 -1.06919520e-02  1.31882797e-03 -2.19317544e-02
  4.03286610e-03 -1.92999013e-03  5.50485682e-03 -6.48866268e-03
  3.14946147e-03  8.14360392e-04 -4.15515242e-04 -1.81278493e-03
 -5.03415195e-03 -1.81581788e-02  9.58668627e-03  4.15444560e-03
 -3.56011395e-03 -7.50322640e-03 -1.49042150e-02 -6.24788506e-03
 -4.18394664e-03 -4.67658648e-03  1.30776661e-02  3.97261977e-03
 -2.08473811e-03  2.35666521e-05 -8.47575814e-03 -2.14178981e-05
  4.11309120e-05  5.77586191e-03 -8.41733068e-03  1.09186210e-02
  5.55776851e-03  5.30765997e-03 -1.53714959e-02  1.05156883e-04
 -1.22772167e-02  7.29280582e-04 -1.27539923e-03 -7.95303751e-03
 -1.31472910e-03 -9.55409463e-03 -8.17035697e-03  5.27273342e-02
 -6.77286834e-03 -6.22218149e-03  3.85950250e-03 -2.82068388e-03
 -6.67138072e-03  3.06728901e-03  2.04694737e-03  1.60353130e-03
 -8.38376582e-03  3.36222746e-03  1.38660092e-04 -2.80892383e-03
  3.46422289e-03 -1.10838923e-03 -3.18545033e-03  5.74316503e-03
 -1.53494568e-03  3.47542646e-03  5.43338712e-03 -6.01252541e-03
 -1.88654091e-03 -7.95729831e-03  1.10699075e-04  2.18218123e-03
  7.97712826e-04 -5.38972486e-03 -2.19424744e-03  3.37197445e-03
 -2.13887822e-03  1.25594228e-03  7.70175783e-03 -1.82891439e-03
  3.07065924e-03 -1.70226162e-03  2.37993710e-03  6.57994719e-03
 -1.70673372e-03 -1.93828624e-03  1.19103445e-03 -3.34486307e-04
  1.57375552e-03  4.05828003e-03 -6.59261458e-03 -5.86355710e-03
 -2.98261805e-03 -1.76329713e-03 -4.48105810e-03 -3.90117918e-03
 -8.15188920e-04 -2.13431381e-03 -2.03126646e-03  1.43200962e-03]"
